Company Name,BSE Number,Group
Company,Code,Group
Arvind Fashions Ltd.,542484,A
Arvind Ltd.,500101,A
Arvind SmartSpaces Ltd.,539301,B
Aryaman Capital Markets Ltd.,538716,MT
Aryaman Financial Services Ltd.,530245,X
Aryan Shares & Stock Brokers Ltd.,542176,XT
Aryavan Enterprise Ltd.,539455,XT
Asahi India Glass Ltd.,515030,A
Asahi Industries Ltd.,514482,ZP
Asahi Infrastructure & Projects Ltd.,512535,Z
Asahi Songwon Colors Ltd.,532853,T
Asarfi Hospital Ltd.,543943,M
Ascensive Educare Ltd.,543443,MS
Aseem Global Ltd.,534564,Z
Ashapura Minechem Ltd.,527001,A
Ashapuri Gold Ornament Ltd.,542579,B
Ashari Agencies Ltd.,540024,Z
Ashiana Agro Industries Ltd.,519174,XT
Ashiana Housing Ltd.,523716,B
Ashiana Ispat Ltd.,513401,X
Ashika Credit Capital Ltd.,543766,XT
Ashima Ltd.,514286,T
Ashirwad Capital Ltd.,512247,X
Ashirwad Steels & Industries Ltd.,526847,X
Ashish Polyplast Ltd.,530429,XT
Ashnisha Industries Ltd.,541702,X
Ashnoor Textile Mills Ltd.,507872,X
Ashok Leyland Ltd.,500477,A
Ashoka Buildcon Ltd.,533271,A
Ashoka Metcast Ltd.,540923,T
Ashoka Refineries Ltd.,526983,P
Ashram Online.com Ltd.,526187,X
Ashtasidhhi Industries Ltd.,531341,X
ASI Industries Ltd.,502015,XT
Asia Capital Ltd.,538777,XT
Asia Pack Ltd.,530899,X
Asian Energy Services Ltd.,530355,B
Asian Fertilizers Ltd.,524695,P
Asian Flora Ltd.,531392,Z
Asian Granito India Ltd.,532888,B
Asian Hotels (East) Ltd.,533227,B
Asian Hotels (North) Ltd.,500023,B
Asian Hotels (West) Ltd. 533221 ZCompany,Code,Group
Asian Paints Ltd.,500820,A
Asian Petroproducts & Exports Ltd.,524434,X
Asian Star Company Ltd.,531847,B
Asian Tea Exports Ltd.,519532,X
Asian Warehousing Ltd.,543927,XT
Asis Logistics Ltd.,506159,XT
Asit C Mehta Financial Services Ltd.,530723,X
ASK Automotive Ltd.,544022,B
ASM Technologies Ltd.,526433,X
Aspira Pathlab & Diagnostics Ltd.,540788,XT
Assam Entrade Ltd.,542911,XT
Associated Alcohols & Breweries Ltd.,507526,B
Associated Ceramics Ltd.,531168,XT
Associated Coaters Ltd.,544183,M
Astal Laboratories Ltd.,512600,XT
Astec Lifesciences Ltd.,533138,B
Aster DM Healthcare Ltd.,540975,A
Astra Microwave Products Ltd.,532493,A
Astral Ltd.,532830,A
AstraZeneca Pharma India Ltd.,506820,A
Astron Paper & Board Mill Ltd.,540824,B
Asutosh Enterprises Ltd.,512433,P
Asya Infosoft Ltd.,511144,Z
Atal Realtech Ltd.,543911,B
Atam Valves Ltd.,543236,B
Atcom Technologies Ltd.,527007,B
Atharv Enterprises Ltd.,530187,X
Athena Constructions Ltd.,539099,M
Athena Global Technologies Ltd.,517429,X
Atishay Ltd.,538713,XT
Atlanta Devcon Ltd.,526843,Z
Atlanta Infrastructure and Finance Ltd.,530479,XD
Atlantaa Ltd,532759,T
Atlas Cycles (Haryana) Ltd.,505029,Z
Atlas Jewellery India Ltd.,514394,Z
ATN International Ltd.,511427,T
Atul Auto Ltd.,531795,B
Atul Ltd.,500027,A
ATV Projects India Ltd.,500028,X
Au Small Finance Bank Ltd.,540611,A
Aurionpro Solutions Ltd.,532668,B
Auro Laboratories Ltd.,530233,X
Aurobindo Pharma Ltd.,524804,A
Auroma Coke Ltd.,531336,Z
Aurum Proptech Ltd.,539289,T
Ausom Enterprise Ltd.,509009,B
Austin Engineering Company Ltd.,522005,X
Authum Investment & Infrastructure Ltd.,539177,A
Auto Pins (India) Ltd.,531994,XT
Autoline Industries Ltd.,532797,B
Autolite (India) Ltd.,500029,Z
Automobile Corporation Of Goa Ltd.,505036,B
Automotive Axles Ltd.,505010,B
Automotive Stampings and Assemblies Ltd.,520119,B
Autoriders Finance Ltd.,500030,Z
Autoriders International Ltd.,512277,XT
Avadh Sugar & Energy Ltd.,540649,B
Available Finance Ltd.,531310,XT
Avalon Technologies Ltd.,543896,A
Avance Technologies Ltd.,512149,X
Avantel Ltd.,532406,B
Avanti Feeds Ltd.,512573,A
Avasara Finance Ltd.,511730,XT
Aveer Foods Ltd.,543737,X
Avenue Supermarts Ltd.,540376,A
AVG Logistics Ltd.,543910,B
AVI Polymers Ltd.,539288,X
AVI Products India Ltd.,523896,X
Avishkar Infra Realty Ltd.,508929,XT
Aviva Industries Ltd.,512109,XT
Avonmore Capital & Management Services Ltd.,511589,T
Avro India Ltd.,543512,T
AVT Natural Products Ltd.,519105,B
Awfis Space Solutions Ltd,544181,B
Axel Polymers Ltd.,513642,X
Axis Bank Ltd.,532215,A
AXISCADES Technologies Ltd.,532395,B
Axita Cotton Ltd.,542285,B
Axon Ventures Ltd.,505506,X
Axtel Industries Ltd.,523850,X
